start_time,end_time,duration,text
229.05,236.24900000000002,7.199,"I really wish that the included adapter was USB C but its surface connect because well, that's Microsoft's for you"
236.47,239.519,3.049,Okay gaming performance. I was actually surprised by this
239.519,241.829,2.31,You're not gonna be able to play some killer triple-a titles
241.83,245.55,3.72,But light games are pretty good on this thing if you want to pick it up for some casual light games
245.68,246.9,1.22,It'll do the trick now
246.9,251.97,5.07,The surface go is still a surface product through and through so if they're issues you had with surface products in the past
252.04,256.709,4.669,"You may have those same issues with this one. Like if you need more ports, there's still only one port"
256.709,257.97,1.261,It's use BC this year
257.97,261.83900000000006,3.869,But it's still only one port if you don't like the kickstand on your lap
261.84,266.28,4.44,"Like it's not an ideal situation for lap use, but it does work reasonably"
266.28,270.11899999999997,3.839,"Well plus infinite positions up to a certain degree, but I don't know"
270.12,275.459,5.339,This makes it fairly usable for most people I think but if you've had issues in the past same issues now
276.759,279.689,2.93,Overall though really good product. I think for students
279.69,282.929,3.239,This is such a good option you get so much versatility on this thing
282.93,284.31,1.38,You get a great keyboard for taking notes
284.31,286.41,2.1,You can pull up course material and stuff in class
286.63,290.789,4.159,Good option great for me to consumption for like a secondary device if you want it for that
290.789,294.239,3.45,I think you can't go wrong with this it is however not
294.88,299.579,4.699,Cheap once you add everything up together like the keyboard and like the mid tier unit
299.58,302.21999999999997,2.64,It's not the $400 device that they're kind of marketing
302.22,307.889,5.669,"So you kind of have to take that into consideration, but overall I like this thing. Ok. Hope you guys enjoyed this video thumbs"
307.889,310.228,2.339,We liked it subs we loved it. See you guys next time
